JWMNP,HINCP,AGEP,HUPAOC,NATIVITY,SEX,SCHL,PUMA,ST,
20,300000,65,4,1,1,22,03810,36,
20,300000,49,4,2,1,16,03810,36,
0,75300,44,4,1,2,17,03810,36,
20,75300,41,4,2,1,16,03810,36,
0,67000,50,4,1,1,21,03810,36,
0,99300,72,4,2,2,21,03810,36,
30,99300,51,4,2,1,16,03810,36,
0,83600,48,4,1,1,18,03810,36,
0,83600,69,4,1,1,16,03810,36,
10,775200,46,4,1,1,22,03810,36,
20,775200,38,4,1,2,18,03810,36,
0,199000,24,4,1,2,21,03810,36,
0,199000,24,4,1,2,19,03810,36,
0,199000,24,4,1,2,21,03810,36,
0,150000,25,4,1,2,21,03810,36,
10,400000,59,4,2,2,22,03810,36,
0,286250,54,2,2,2,21,03810,36,
0,286250,55,2,2,1,21,03810,36,
15,286250,17,2,1,1,14,03810,36,
30,270500,25,4,1,2,21,03810,36,
25,300000,32,4,2,1,21,03810,36,
0,300000,32,4,2,2,21,03810,36,
0,125000,24,4,1,2,22,03810,36,
30,125000,24,4,1,2,22,03810,36,
0,125000,24,4,1,2,21,03810,36,
0,212000,29,4,1,2,21,03810,36,
30,212000,35,4,2,1,21,03810,36,
0,0,86,4,1,2,1,03810,36,
0,0,91,4,1,1,5,03810,36,
12,120000,32,4,2,1,22,03810,36,
0,120000,30,4,1,2,21,03810,36,
20,173000,29,4,1,1,21,03810,36,
20,173000,29,4,1,1,21,03810,36,
0,17800,83,4,1,1,23,03810,36,
0,220000,27,4,1,2,21,03810,36,
20,220000,31,4,1,1,21,03810,36,
0,250000,83,4,2,2,22,03810,36,
30,307700,28,4,1,1,21,03810,36,
5,54000,57,4,1,2,16,03810,36,
0,80000,36,4,1,1,21,03810,36,
0,206000,38,4,2,1,22,03810,36,
0,206000,28,4,1,2,21,03810,36,
0,150000,31,4,1,2,22,03810,36,
30,200000,26,4,1,2,21,03810,36,
0,729000,33,4,1,1,22,03810,36,
0,729000,29,4,1,2,21,03810,36,
0,822300,35,1,1,2,21,03810,36,
0,822300,35,1,1,1,21,03810,36,
0,822300,2,1,1,1,0,03810,36,
0,822300,1,1,1,2,0,03810,36,
25,400000,36,1,1,1,21,03810,36,
25,400000,37,1,1,2,21,03810,36,
0,400000,2,1,1,2,0,03810,36,
20,121880,44,1,2,1,22,03810,36,
55,121880,38,1,2,2,21,03810,36,
0,121880,0,1,1,1,0,03810,36,
0,124000,27,4,1,1,21,03810,36,
0,124000,26,4,1,2,22,03810,36,
25,202000,38,4,1,2,21,03810,36,
7,202000,32,4,2,1,19,03810,36,
0,225000,42,2,2,2,21,03810,36,
30,225000,42,2,1,1,20,03810,36,
0,225000,11,2,1,1,8,03810,36,
0,225000,8,2,1,1,6,03810,36,
35,316000,54,4,1,1,21,03810,36,
10,316000,54,4,1,1,16,03810,36,
0,130000,33,1,2,2,21,03810,36,
0,130000,53,1,1,1,21,03810,36,
